customer_id,age,gender,city,membership,join_date
1,26,Male,Dallas,Silver,2022-10-11
2,66,Female,Seattle,Platinum,2022-02-16
3,68,Male,New York,Gold,2020-02-28
4,42,Female,Miami,Silver,2023-11-26
5,46,Female,Chicago,Platinum,2025-04-19
6,24,Female,New York,Silver,2020-02-22
7,59,Male,Seattle,Platinum,2021-03-19
8,45,Male,Miami,Silver,2024-04-13
9,46,Female,Miami,Silver,2021-12-08
10,32,Male,Seattle,Gold,2025-03-12
11,19,Female,Miami,Platinum,2020-07-23
12,29,Female,New York,Platinum,2021-11-12
13,64,Female,Miami,Platinum,2021-01-23
14,37,Female,Miami,Gold,2024-09-29
15,50,Female,Miami,Silver,2022-09-10
16,33,Female,Seattle,Platinum,2020-12-20
17,41,Female,New York,Gold,2023-09-21
18,50,Male,Chicago,Platinum,2024-09-16
19,43,Female,Seattle,Platinum,2020-03-01
20,48,Male,Dallas,Platinum,2024-10-03
21,57,Female,Chicago,Silver,2022-10-25
22,32,Male,Chicago,Platinum,2025-02-27
23,53,Male,Seattle,Platinum,2021-12-05
24,54,Female,Seattle,Gold,2023-09-12
25,53,Male,Seattle,Platinum,2022-11-15
26,69,Male,Miami,Platinum,2021-02-24
27,45,Male,Seattle,Gold,2023-03-13
28,53,Male,Miami,Gold,2022-09-20
29,70,Female,Seattle,Gold,2020-01-04
30,52,Female,Seattle,Platinum,2020-02-27
31,69,Male,Chicago,Platinum,2023-04-11
32,29,Male,Miami,Gold,2020-03-07
33,61,Male,New York,Silver,2022-07-16
34,18,Female,Chicago,Gold,2020-08-12
35,69,Male,Dallas,Gold,2020-05-22
36,28,Male,Dallas,Platinum,2025-05-03
37,28,Female,Dallas,Gold,2023-12-09
38,38,Female,Seattle,Silver,2020-02-18
39,37,Female,Dallas,Gold,2024-06-18
40,30,Female,New York,Gold,2025-01-16
41,64,Male,Miami,Gold,2024-07-31
42,19,Male,New York,Gold,2020-10-26
43,20,Male,Seattle,Platinum,2022-11-02
44,61,Female,Miami,Silver,2025-06-23
45,58,Female,Chicago,Platinum,2023-08-21
46,19,Female,Miami,Gold,2023-09-13
47,58,Female,New York,Platinum,2021-09-03
48,26,Male,New York,Gold,2020-05-24
49,22,Female,Dallas,Platinum,2020-11-20
50,44,Female,Chicago,Silver,2023-02-22
51,20,Male,Miami,Gold,2020-12-17
52,70,Male,Seattle,Silver,2021-12-11
53,24,Male,Miami,Platinum,2025-01-10
54,45,Male,Seattle,Silver,2025-04-04
55,60,Female,Dallas,Platinum,2022-10-20
56,19,Female,Miami,Gold,2025-01-16
57,36,Male,Chicago,Silver,2024-10-22
58,38,Male,Dallas,Gold,2021-03-12
59,35,Male,Seattle,Platinum,2021-12-05
60,61,Female,Miami,Silver,2020-05-13
61,64,Male,New York,Silver,2020-12-13
62,28,Male,Dallas,Gold,2023-05-14
63,50,Female,Dallas,Gold,2021-11-27
64,25,Female,Chicago,Platinum,2024-05-15
65,63,Female,Chicago,Platinum,2023-02-02
66,67,Male,Dallas,Silver,2022-04-12
67,22,Female,Chicago,Silver,2021-11-29
68,25,Female,New York,Platinum,2023-01-31
69,32,Male,Dallas,Gold,2024-12-29
70,36,Male,Seattle,Gold,2020-08-08
71,68,Male,Dallas,Silver,2023-06-10
72,60,Male,New York,Gold,2020-08-23
