transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,discount,payment_method,total_amount
1,95,143,2025-05-18,4,199.16,20,UPI,637.31
2,620,150,2024-02-27,4,481.0,0,Cash,1924.0
3,205,359,2025-05-16,4,65.07,10,Card,234.25
4,84,17,2023-04-03,3,125.96,15,Cash,321.2
5,34,453,2023-03-08,4,70.72,15,Card,240.45
6,507,74,2024-05-05,2,346.29,15,UPI,588.69
7,622,6,2024-09-03,3,274.38,0,Card,823.14
8,642,438,2024-01-10,5,281.69,20,Card,1126.76
9,965,120,2025-05-26,5,334.98,5,Card,1591.15
10,950,385,2024-11-17,4,25.75,10,PayPal,92.7
11,824,285,2023-11-12,1,303.08,15,UPI,257.62
12,438,106,2025-05-05,4,36.71,10,Card,132.16
13,679,333,2024-08-03,1,154.52,5,PayPal,146.79
14,996,7,2023-04-03,4,42.45,20,Cash,135.84
15,430,33,2024-05-31,5,226.17,10,Card,1017.76
16,506,74,2024-07-14,4,313.24,5,Card,1190.31
17,275,106,2024-10-02,5,393.53,15,PayPal,1672.5
18,152,74,2025-05-04,3,203.12,10,PayPal,548.42
19,979,304,2025-02-25,3,354.4,15,Card,903.72
20,221,12,2024-11-19,5,115.32,20,UPI,461.28
21,444,496,2023-03-26,5,383.8,0,Card,1919.0
22,240,399,2024-06-25,3,123.83,5,Cash,352.92
23,87,282,2024-10-14,5,84.91,10,UPI,382.09
24,909,301,2024-03-09,3,433.92,10,UPI,1171.58
25,211,394,2023-05-15,1,308.41,15,Cash,262.15
26,3,196,2025-04-23,2,13.3,10,Cash,23.94
27,675,209,2024-03-04,2,401.42,5,Cash,762.7
28,585,213,2025-05-04,4,26.35,20,Card,84.32
29,643,419,2023-05-31,2,54.67,10,PayPal,98.41
30,369,313,2023-06-17,2,468.71,5,Cash,890.55
31,879,256,2025-03-19,1,454.04,5,UPI,431.34
32,359,137,2025-01-19,4,124.96,0,Cash,499.84
33,223,334,2025-04-28,3,123.52,15,UPI,314.98
34,934,367,2025-06-19,2,183.07,15,PayPal,311.22
35,207,413,2025-03-28,4,259.2,20,UPI,829.44
36,239,24,2023-05-07,2,272.18,15,Card,462.71
37,427,390,2024-04-14,4,258.73,20,Card,827.94
38,208,408,2024-12-18,1,198.4,20,Cash,158.72
39,539,222,2024-09-09,5,359.41,20,PayPal,1437.64
40,384,386,2024-06-04,1,191.31,10,UPI,172.18
41,877,161,2024-11-10,2,439.31,15,Cash,746.83
42,195,490,2023-09-18,1,428.24,0,PayPal,428.24
43,229,380,2024-02-08,4,322.55,0,UPI,1290.2
44,945,206,2023-10-20,4,211.34,0,Cash,845.36
45,147,78,2024-11-24,3,331.17,20,UPI,794.81
46,993,313,2024-11-21,5,455.51,15,UPI,1935.92
47,753,192,2024-02-08,3,133.36,15,UPI,340.07
48,593,20,2024-11-06,2,400.62,0,Cash,801.24
49,361,127,2025-02-11,2,359.57,15,PayPal,611.27
50,13,129,2023-11-23,4,161.31,5,Card,612.98
51,966,106,2024-06-06,4,109.13,20,Card,349.22
52,653,347,2023-05-22,4,483.67,0,PayPal,1934.68
53,115,470,2025-01-13,4,386.78,20,Cash,1237.7
54,791,240,2025-02-11,4,274.04,5,Card,1041.35
55,362,465,2023-05-20,1,474.17,15,PayPal,403.04
56,207,197,2023-07-21,2,303.51,10,PayPal,546.32
57,764,144,2025-01-30,2,276.32,20,PayPal,442.11
58,50,469,2024-03-04,2,100.21,10,Card,180.38
59,664,95,2023-06-01,1,191.46,20,UPI,153.17
60,175,71,2025-03-24,3,466.58,5,UPI,1329.75
61,830,444,2023-07-19,4,313.23,20,Card,1002.34
62,621,106,2024-11-06,4,167.23,10,PayPal,602.03
63,46,394,2023-06-07,4,48.74,15,UPI,165.72
64,317,459,2024-04-17,2,24.9,15,UPI,42.33
65,356,177,2023-08-11,5,260.14,20,Cash,1040.56
66,425,124,2023-11-03,1,473.95,10,PayPal,426.56
67,343,463,2024-12-21,4,486.58,15,PayPal,1654.37
68,136,486,2023-10-20,1,215.41,5,PayPal,204.64
69,895,98,2023-09-07,5,337.84,0,PayPal,1689.2
70,349,452,2025-05-30,3,225.35,0,Card,676.05
71,532,495,2024-01-06,3,82.84,0,PayPal,248.52
72,875,124,2025-04-25,5,460.33,0,Card,2301.65
73,958,8,2025-02-26,4,448.06,15,PayPal,1523.4
