product_id,category,product_name,brand,price
1,Sports,Product 1,Brand 8,65.39
2,Sports,Product 2,Brand 18,106.32
3,Electronics,Product 3,Brand 14,226.75
4,Clothing,Product 4,Brand 6,287.96
5,Home,Product 5,Brand 28,310.9
6,Books,Product 6,Brand 20,96.44
7,Books,Product 7,Brand 14,44.23
8,Electronics,Product 8,Brand 22,113.24
9,Home,Product 9,Brand 13,318.78
10,Sports,Product 10,Brand 11,420.52
11,Sports,Product 11,Brand 20,218.02
12,Clothing,Product 12,Brand 29,327.39
13,Sports,Product 13,Brand 24,208.77
14,Electronics,Product 14,Brand 15,251.12
15,Clothing,Product 15,Brand 10,168.0
16,Clothing,Product 16,Brand 7,208.38
17,Sports,Product 17,Brand 20,142.67
18,Sports,Product 18,Brand 10,27.9
19,Electronics,Product 19,Brand 9,33.19
20,Electronics,Product 20,Brand 6,320.85
21,Sports,Product 21,Brand 15,354.63
22,Clothing,Product 22,Brand 30,287.09
23,Electronics,Product 23,Brand 5,236.92
24,Home,Product 24,Brand 17,248.96
25,Books,Product 25,Brand 29,149.42
26,Books,Product 26,Brand 5,49.06
27,Sports,Product 27,Brand 8,344.08
28,Electronics,Product 28,Brand 19,216.85
29,Home,Product 29,Brand 18,363.0
30,Electronics,Product 30,Brand 23,262.73
31,Electronics,Product 31,Brand 12,105.99
32,Sports,Product 32,Brand 17,122.62
33,Sports,Product 33,Brand 14,326.58
34,Clothing,Product 34,Brand 1,86.78
35,Sports,Product 35,Brand 18,113.72
36,Clothing,Product 36,Brand 28,482.02
37,Electronics,Product 37,Brand 5,276.62
38,Clothing,Product 38,Brand 12,274.58
39,Clothing,Product 39,Brand 4,169.63
40,Books,Product 40,Brand 12,131.64
41,Electronics,Product 41,Brand 18,298.94
42,Books,Product 42,Brand 2,35.76
43,Home,Product 43,Brand 10,366.86
44,Books,Product 44,Brand 10,465.17
45,Books,Product 45,Brand 10,397.53
46,Sports,Product 46,Brand 22,337.79
47,Electronics,Product 47,Brand 14,327.18
48,Electronics,Product 48,Brand 21,41.44
49,Books,Product 49,Brand 30,9.66
50,Clothing,Product 50,Brand 11,40.08
51,Home,Product 51,Brand 10,111.35
52,Books,Product 52,Brand 23,431.88
53,Sports,Product 53,Brand 7,281.36
54,Books,Product 54,Brand 3,349.31
55,Electronics,Product 55,Brand 10,368.28
56,Sports,Product 56,Brand 15,362.43
57,Home,Product 57,Brand 27,106.4
58,Clothing,Product 58,Brand 21,460.21
59,Books,Product 59,Brand 13,305.32
60,Books,Product 60,Brand 8,422.67
61,Books,Product 61,Brand 1,127.1
62,Books,Product 62,Brand 16,149.84
63,Home,Product 63,Brand 25,448.1
64,Electronics,Product 64,Brand 7,59.17
65,Books,Product 65,Brand 7,346.11
66,Clothing,Product 66,Brand 25,213.44
67,Books,Product 67,Brand 14,352.54
68,Clothing,Product 68,Brand 26,189.91
69,Sports,Product 69,Brand 23,38.65
70,Sports,Product 70,Brand 25,84.08
71,Sports,Product 71,Brand 18,110.0
72,Books,Product 72,Brand 21,449.54
73,Home,Product 73,Brand 16,462.67
74,Books,Product 74,Brand 14,71.71
75,Sports,Product 75,Brand 12,495.4
76,Home,Product 76,Brand 28,220.69
77,Home,Product 77,Brand 7,112.84
78,Sports,Product 78,Brand 29,335.93
79,Home,Product 79,Brand 22,239.54
80,Home,Product 80,Brand 9,313.6
81,Electronics,Product 81,Brand 4,434.68
82,Books,Product 82,Brand 30,471.46
83,Home,Product 83,Brand 17,342.58
84,Clothing,Product 84,Brand 17,496.4
85,Home,Product 85,Brand 8,452.59
86,Home,Product 86,Brand 23,81.77
87,Clothing,Product 87,Brand 14,445.58
88,Books,Product 88,Brand 13,422.55
89,Electronics,Product 89,Brand 3,116.55
90,Sports,Product 90,Brand 24,86.79
91,Clothing,Product 91,Brand 10,192.85
92,Home,Product 92,Brand 1,303.89
93,Clothing,Product 93,Brand 4,145.49
94,Home,Product 94,Brand 24,372.31
95,Books,Product 95,Brand 18,336.93
96,Clothing,Product 96,Brand 4,35.29
97,Clothing,Product 97,Brand 17,448.58
98,Books,Product 98,Brand 4,246.29
99,Home,Product 99,Brand 21,463.31
100,Electronics,Product 100,Brand 10,162.51
101,Electronics,Product 101,Brand 12,401.92
102,Clothing,Product 102,Brand 9,145.79
103,Home,Product 103,Brand 6,480.38
104,Sports,Product 104,Brand 11,460.15
105,Electronics,Product 105,Brand 29,279.91
106,Clothing,Product 106,Brand 5,349.24
107,Home,Product 107,Brand 27,194.93
108,Clothing,Product 108,Brand 10,402.68
109,Home,Product 109,Brand 1,18.52
110,Sports,Product 110,Brand 19,273.98
111,Sports,Product 111,Brand 27,16.44
112,Electronics,Product 112,Brand 26,234.63
113,Books,Product 113,Brand 4,310.96
114,Sports,Product 114,Brand 19,66.63
115,Books,Product 115,Brand 3,13.16
116,Clothing,Product 116,Brand 12,252.15
117,Books,Product 117,Brand 16,294.8
118,Home,Product 118,Brand 7,434.72
119,Clothing,Product 119,Brand 16,490.01
120,Books,Product 120,Brand 21,238.05
121,Books,Product 121,Brand 15,259.95
122,Home,Product 122,Brand 26,277.93
123,Books,Product 123,Brand 5,51.1
124,Home,Product 124,Brand 26,455.56
125,Clothing,Product 125,Brand 3,389.21
126,Electronics,Product 126,Brand 19,230.92
127,Electronics,Product 127,Brand 28,304.96
128,Sports,Product 128,Brand 11,471.36
129,Clothing,Product 129,Brand 11,83.54
130,Clothing,Product 130,Brand 24,386.66
131,Sports,Product 131,Brand 19,397.29
132,Books,Product 132,Brand 19,476.67
133,Sports,Product 133,Brand 15,233.32
134,Sports,Product 134,Brand 25,196.14
135,Books,Product 135,Brand 26,320.54
136,Clothing,Product 136,Brand 1,91.3
137,Clothing,Product 137,Brand 21,91.7
138,Clothing,Product 138,Brand 28,321.52
139,Clothing,Product 139,Brand 30,388.61
140,Clothing,Product 140,Brand 3,231.44
141,Sports,Product 141,Brand 18,453.26
142,Sports,Product 142,Brand 21,197.84
143,Sports,Product 143,Brand 21,374.96
144,Books,Product 144,Brand 16,254.48
145,Clothing,Product 145,Brand 22,143.66
146,Books,Product 146,Brand 2,333.04
147,Home,Product 147,Brand 20,476.93
148,Books,Product 148,Brand 7,392.4
149,Books,Product 149,Brand 15,81.79
150,Electronics,Product 150,Brand 12,315.7
151,Clothing,Product 151,Brand 10,355.49
152,Sports,Product 152,Brand 29,298.41
153,Home,Product 153,Brand 5,389.43
154,Electronics,Product 154,Brand 22,400.37
155,Books,Product 155,Brand 29,412.55
