name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Cafe Vivacity,Yes,No,3.8/5,87,650,Cafes
Chatar Patar,No,No,3.7/5,59,330,Dining
Timepass Dinner,Yes,No,3.8/5,275,540,Buffet
T3H Cafe,No,No,3.9/5,85,300,Cafes
Faasos,Yes,No,4.2/5,385,500,other
Domino's Pizza,Yes,No,3.9/5,560,800,Dining
Empire Restaurant,Yes,No,4.4/5,5016,750,other
Ovenstory Pizza,Yes,No,3.9/5,169,750,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining
Onesta,Yes,Yes,4.6/5,2344,540,Cafes
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,150,Dining
LSD Cafe,No,No,2.9/5,85,630,other
Goa 0 Km,Yes,Yes,3.6/5,147,800,Dining
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,12,400,Cafes
Jeet Restaurant,No,Yes,4.0/5,779,850,Dining
Vaishali Deluxe,No,No,3.8/5,43,770,Dining
Gustoes Beer House,No,No,4.1/5,902,630,Dining
Empire Restaurant,Yes,No,4.4/5,5357,750,other
Gustoes Beer House,No,No,4.1/5,871,630,Dining
Cafe Vivacity,Yes,No,3.8/5,98,580,Cafes
Petoo,No,No,3.7/5,21,500,Dining
Floured-Baked With Love,No,No,3.8/5,49,360,Dining
The Big O Bakes,No,No,4.0/5,69,330,Dining
Nandhini Deluxe,No,No,2.6/5,287,600,Dining
Grand Village,No,No,3.8/5,165,660,Buffet
Mane Thindi,No,No,3.7/5,130,200,Dining
The Biryani Cafe,No,No,4.1/5,512,330,Dining
Bengaluru Coffee House,Yes,No,4.1/5,208,300,Dining
Fast And Fresh,Yes,No,2.8/5,95,360,Dining
Village Café,Yes,No,4.1/5,378,550,Cafes
Aramane Donne Biriyani,No,No,2.9/5,0,150,Dining
Hide Out Cafe,No,No,3.7/5,29,300,Cafes
T3H Cafe,No,No,3.9/5,87,300,Cafes
Just Bake,No,No,3.4/5,8,400,Dining
Tasty Bytes,Yes,No,3.1/5,230,300,Dining
Beijing Bites,Yes,No,3.7/5,725,760,Dining
The Vintage Cafe,Yes,No,3.0/5,57,440,Cafes
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,330,Dining
XO Belgian Waffle,Yes,No,3.7/5,17,400,Dining
Melting Melodies,No,No,3.3/5,0,100,Dining
Kaggis,No,No,3.8/5,64,250,Dining
Biryanis And More,Yes,No,4.0/5,625,680,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6/5,29,330,Dining
Goa 0 Km,Yes,Yes,3.6/5,176,880,Dining
Sea Green Cafe,No,No,3.3/5,4,450,Cafes
Swathi Cool Point,No,No,4.1/5,0,200,Dining
Vaishali Deluxe,No,No,3.8/5,39,700,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,140,Dining
CAFE NOVA,No,No,3.2/5,11,540,Cafes
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,140,Dining
Hide Out Cafe,No,No,3.7/5,28,300,Cafes
Vi Ra's Bar and Restaurant,No,No,3.3/5,63,720,Dining
CAFE NOVA,No,No,3.2/5,12,600,Dining
My Tea House,Yes,No,3.6/5,62,600,Cafes
Redberrys,Yes,No,4.0/5,219,600,Cafes
Wood Stove,No,No,3.4/5,0,160,Dining
Village Café,Yes,No,4.1/5,402,500,Cafes
Onesta,Yes,Yes,4.6/5,2420,540,other
Petoo,No,No,3.7/5,23,500,Dining
Kulfi & More,No,No,3.4/5,0,150,Dining
Roving Feast,No,No,4.0/5,1047,450,Dining
Ovenstory Pizza,Yes,No,3.9/5,155,830,Dining
Caf-Eleven,No,No,4.0/5,422,500,Cafes
Darkolates,No,No,3.3/5,0,220,Dining
Biryanis And More,Yes,No,4.0/5,574,680,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,360,Dining
Hari Super Sandwich,No,No,3.2/5,0,180,Dining
The Good Bowl,Yes,No,3.6/5,6,500,Dining
Hotel Andhra Speices,No,No,2.9/5,0,220,Dining
Coffee Shopee,No,No,3.4/5,0,250,Dining
Parjanya Chat Zone,No,No,3.3/5,18,200,Dining
Fast And Fresh,Yes,No,2.8/5,95,360,Dining
Nandhini Deluxe,No,No,2.6/5,289,600,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining
Onesta,Yes,Yes,4.6/5,2566,540,other
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,150,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,58,800,Dining
Just Bake,No,No,3.4/5,8,400,Dining
Peppy Peppers,No,No,4.2/5,254,880,other
Namma Brahmin's Idli,Yes,No,3.6/5,34,100,Dining
Swathi Cool Point,No,No,4.1/5,0,220,Dining
Gustoes Beer House,No,No,4.1/5,868,700,Dining
Corner House Ice Cream,No,No,4.3/5,331,400,Dining
Addhuri Udupi Bhojana,No,No,3.7/5,85,330,Buffet
Foodlieious Multi Cuisine,No,No,3.4/5,0,110,Dining
Swathi Cool Point,No,No,4.1/5,0,180,Dining
Petoo,No,No,3.7/5,22,450,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0,280,Dining
Sweet Truth,Yes,No,3.9/5,38,550,Dining
Banashankari Donne Biriyani,Yes,No,3.8/5,104,270,Dining
Sugar Rush,No,No,3.8/5,36,270,Dining
Parjanya Chat Zone,No,No,3.3/5,16,220,Dining
Srinathji's Cafe,No,No,3.8/5,159,600,Cafes
Foodiction,Yes,No,2.8/5,508,450,other
Coffee Bytes,No,No,3.1/5,6,90,Dining
Dessert Rose,No,No,3.5/5,7,500,Dining
Jeet Restaurant,No,Yes,4.0/5,808,850,Dining
Woodee Pizza,Yes,No,3.7/5,167,550,Cafes
Cake Bite,No,No,3.4/5,0,270,Dining
Chickpet Donne Biryani House,No,No,3.7/5,20,220,Dining
Gustoes Beer House,No,No,4.1/5,920,770,Dining
San Churro Cafe,Yes,No,3.8/5,844,880,Cafes
Penthouse Cafe,Yes,No,4.0/5,306,700,other
Cuppa,No,No,3.3/5,23,550,Cafes
Vaishali Deluxe,No,No,3.8/5,40,630,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,160,Dining
Wamama,Yes,Yes,4.2/5,372,800,other
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,140,Dining
Cuppa,No,No,3.3/5,23,500,Cafes
Grand Village,No,No,3.8/5,162,600,Buffet
Annapooraneshwari Mess,No,No,3.7/5,0,220,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,59,720,Dining
Meghana Foods,Yes,No,4.4/5,4401,600,Dining
Namma Brahmin's Idli,Yes,No,3.6/5,34,90,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining
Om Sri Vinayaka Chats,No,No,3.6/5,0,550,Dining
Empire Restaurant,Yes,No,4.4/5,5097,830,other
Petoo,No,No,3.7/5,20,400,Dining
Onesta,Yes,Yes,4.6/5,2560,660,Cafes
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining
Faasos,Yes,No,4.2/5,429,550,other
Chinese Kitchen,Yes,No,3.8/5,56,140,Dining
Sea Green Cafe,No,No,3.3/5,4,450,Cafes
Cafe Shuffle,Yes,Yes,4.2/5,155,540,Cafes
K27 - The Pub,No,No,3.1/5,28,900,Dining
CAFE NOVA,No,No,3.2/5,12,540,Cafes
Spice 9,No,No,3.4/5,9,330,Dining
Ovenstory Pizza,Yes,No,3.9/5,178,750,Dining
Just Bake,No,No,3.4/5,9,400,Dining
Jalsa,Yes,Yes,4.1/5,747,880,Buffet
Gawdaru Mane Beriyani,No,No,3.3/5,0,330,Dining
Coffee Bytes,No,No,3.1/5,6,90,Dining
Sugar Rush,No,No,3.8/5,42,300,Dining
FreshMenu,Yes,No,3.9/5,627,450,Dining
Bengaluru Coffee House,Yes,No,4.1/5,201,300,Dining
Hari Super Sandwich,No,No,3.2/5,0,200,Dining
CAFE NOVA,No,No,3.2/5,11,600,Cafes
Spicy Tandoor,No,No,4.1/5,0,150,Dining
Onesta,Yes,Yes,4.6/5,2556,600,other
Faasos,Yes,No,4.2/5,453,450,other
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,270,Dining
Srinathji's Cafe,No,No,3.8/5,143,500,Cafes
Just Bake,No,No,3.4/5,8,360,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,160,Dining
Melting Melodies,No,No,3.3/5,0,100,Dining
Fast And Fresh,Yes,No,2.8/5,88,360,Dining
The Vintage Cafe,Yes,No,3.0/5,63,440,Cafes
New Indraprasta,No,No,3.3/5,0,160,Dining
Grand Village,No,No,3.8/5,168,540,Buffet
Wood Stove,No,No,3.4/5,0,150,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,140,Dining
Hide Out Cafe,No,No,3.7/5,29,330,Cafes
Kitchen Garden,Yes,No,3.6/5,223,330,Dining
Kabab Magic,Yes,No,4.1/5,1674,440,Dining
Just Bake,No,No,3.4/5,9,400,Dining
LSD Cafe,No,No,2.9/5,83,700,other
Peppy Peppers,No,No,4.2/5,244,800,other
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining
